date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,home_pen_bol,away_pen_bol,home_pen_real,away_pen_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who
2026-06-23,20h,inglaterra-vs-gana,Inglaterra,Gana,1.0,1.0,,,,,,,1 x 1,empate,,,Giancarlo
2026-06-23,23h,panamá-vs-croácia,Panamá,Croácia,0.0,3.0,,,,,,,0 x 3,Croácia,,,Giancarlo
2026-06-24,02h,colômbia-vs-rd_congo,Colômbia,RD Congo,4.0,0.0,,,,,,,4 x 0,Colômbia,,,Giancarlo
2026-06-24,19h,suíça-vs-canadá,Suíça,Canadá,3.0,2.0,,,,,,,3 x 2,Suíça,,,Giancarlo
2026-06-24,19h,bósnia-vs-catar,Bósnia,Catar,1.0,0.0,,,,,,,1 x 0,Bósnia,,,Giancarlo
2026-06-24,22h,escócia-vs-brasil,Escócia,Brasil,0.0,3.0,,,,,,,0 x 3,Brasil,,,Giancarlo
2026-06-24,22h,marrocos-vs-haiti,Marrocos,Haiti,3.0,0.0,,,,,,,3 x 0,Marrocos,,,Giancarlo
2026-06-25,01h,república_tcheca-vs-méxico,República Tcheca,México,0.0,1.0,,,,,,,0 x 1,México,,,Giancarlo
2026-06-25,01h,áfrica_do_sul-vs-coréia_do_sul,África do Sul,Coréia do Sul,1.0,2.0,,,,,,,1 x 2,Coréia do Sul,,,Giancarlo
2026-06-25,20h,curaçao-vs-costa_do_marfim,Curaçao,Costa do Marfim,1.0,2.0,,,,,,,1 x 2,Costa do Marfim,,,Giancarlo
2026-06-25,20h,equador-vs-alemanha,Equador,Alemanha,1.0,3.0,,,,,,,1 x 3,Alemanha,,,Giancarlo
2026-06-25,23h,japão-vs-suécia,Japão,Suécia,2.0,0.0,,,,,,,2 x 0,Japão,,,Giancarlo
2026-06-25,23h,tunísia-vs-holanda,Tunísia,Holanda,1.0,3.0,,,,,,,1 x 3,Holanda,,,Giancarlo
2026-06-26,02h,turquia-vs-estados_unidos,Turquia,Estados Unidos,2.0,0.0,,,,,,,2 x 0,Turquia,,,Giancarlo
2026-06-26,02h,paraguai-vs-austrália,Paraguai,Austrália,3.0,0.0,,,,,,,3 x 0,Paraguai,,,Giancarlo
2026-06-26,19h,noruega-vs-frança,Noruega,França,2.0,3.0,,,,,,,2 x 3,França,,,Giancarlo
2026-06-26,19h,senegal-vs-iraque,Senegal,Iraque,2.0,1.0,,,,,,,2 x 1,Senegal,,,Giancarlo
2026-06-27,00h,cabo_verde-vs-arábia_saudita,Cabo Verde,Arábia Saudita,1.0,2.0,,,,,,,1 x 2,Arábia Saudita,,,Giancarlo
2026-06-27,00h,uruguai-vs-espanha,Uruguai,Espanha,2.0,4.0,,,,,,,2 x 4,Espanha,,,Giancarlo
2026-06-27,03h,egito-vs-irã,Egito,Irã,3.0,1.0,,,,,,,3 x 1,Egito,,,Giancarlo
2026-06-27,03h,nova_zelândia-vs-bélgica,Nova Zelândia,Bélgica,1.0,3.0,,,,,,,1 x 3,Bélgica,,,Giancarlo
2026-06-27,21h,panamá-vs-inglaterra,Panamá,Inglaterra,1.0,3.0,,,,,,,1 x 3,Inglaterra,,,Giancarlo
2026-06-27,21h,croácia-vs-gana,Croácia,Gana,2.0,1.0,,,,,,,2 x 1,Croácia,,,Giancarlo
2026-06-27,23h,colômbia-vs-portugal,Colômbia,Portugal,1.0,2.0,,,,,,,1 x 2,Portugal,,,Giancarlo
2026-06-27,23h,rd_congo-vs-uzbequistão,RD Congo,Uzbequistão,2.0,2.0,,,,,,,2 x 2,empate,,,Giancarlo
2026-06-28,02h,argélia-vs-áustria,Argélia,Áustria,0.0,1.0,,,,,,,0 x 1,Áustria,,,Giancarlo
2026-06-28,02h,jordânia-vs-argentina,Jordânia,Argentina,0.0,2.0,,,,,,,0 x 2,Argentina,,,Giancarlo
