date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,home_pen_bol,away_pen_bol,home_pen_real,away_pen_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who,pontos,criterio,valido,1-Placar exato,2-Vencedor + acerto parcial,3-Vencedor + acerto parcial,4-Vencedor correto,5-Gols de um time,6-Nenhum acerto,9-Sem jogo
2026-06-14,23h,costa_do_marfim-vs-equador,Costa do Marfim,Equador,1.0,1.0,,,,,,,1 x 1,empate,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-15,02h,suécia-vs-tunísia,Suécia,Tunísia,1.0,0.0,,,,,,,1 x 0,Suécia,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-15,16h,espanha-vs-cabo_verde,Espanha,Cabo Verde,4.0,0.0,,,,,,,4 x 0,Espanha,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-15,19h,bélgica-vs-egito,Bélgica,Egito,2.0,0.0,,,,,,,2 x 0,Bélgica,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-15,22h,arábia_saudita-vs-uruguai,Arábia Saudita,Uruguai,0.0,1.0,,,,,,,0 x 1,Uruguai,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-16,01h,irã-vs-nova_zelândia,Irã,Nova Zelândia,2.0,1.0,,,,,,,2 x 1,Irã,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-16,19h,frança-vs-senegal,França,Senegal,2.0,1.0,,,,,,,2 x 1,França,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-16,22h,iraque-vs-noruega,Iraque,Noruega,1.0,3.0,,,,,,,1 x 3,Noruega,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-17,01h,argentina-vs-argélia,Argentina,Argélia,1.0,0.0,,,,,,,1 x 0,Argentina,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-17,04h,áustria-vs-jordânia,Áustria,Jordânia,2.0,0.0,,,,,,,2 x 0,Áustria,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-17,17h,portugal-vs-rd_congo,Portugal,RD Congo,4.0,1.0,,,,,,,4 x 1,Portugal,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-17,20h,inglaterra-vs-croácia,Inglaterra,Croácia,1.0,0.0,,,,,,,1 x 0,Inglaterra,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-17,23h,gana-vs-panamá,Gana,Panamá,1.0,1.0,,,,,,,1 x 1,empate,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-18,02h,uzbequistão-vs-colômbia,Uzbequistão,Colômbia,1.0,2.0,,,,,,,1 x 2,Colômbia,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-18,16h,república_tcheca-vs-áfrica_do_sul,República Tcheca,África do Sul,2.0,1.0,,,,,,,2 x 1,República Tcheca,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-18,19h,suíça-vs-bósnia,Suíça,Bósnia,2.0,0.0,,,,,,,2 x 0,Suíça,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-18,22h,canadá-vs-catar,Canadá,Catar,2.0,0.0,,,,,,,2 x 0,Canadá,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
